Product_ID,Category,Current_Price,Competitor_Price,Demand_Level,Season,Day_of_Week,Units_Sold,Stock,Cost_per_Unit,Profit,Price_Diff,Price_Ratio,Price_Demand_Interaction,Log_Current_Price,Log_Competitor_Price
P1000,Clothing,916.51,1376.46,High,Monsoon,Friday,82,863,722.05,15945.72,-459.95,0.67,2749.53,6.82,7.23
P1001,Sports,587.32,1692.79,Low,Winter,Saturday,21,388,367.71,4611.81,-1105.47,0.35,587.32,6.38,7.43
P1002,Toys,1262.98,495.52,Low,Festival,Wednesday,179,470,872.21,69947.83,767.46,2.55,1262.98,7.14,6.21
P1003,Clothing,1985.26,1739.53,Low,Summer,Sunday,498,65,1368.07,307360.62,245.73,1.14,1985.26,7.59,7.46
P1004,Home Appliances,803.33,114.98,High,Autumn,Thursday,398,816,422.89,151415.12,688.35,6.99,2409.99,6.69,4.75
P1005,Toys,1168.99,1829.94,Low,Monsoon,Wednesday,330,90,652.81,170339.4,-660.95,0.64,1168.99,7.06,7.51
P1006,Toys,860.43,280.81,High,Autumn,Wednesday,225,688,494.32,82374.75,579.62,3.06,2581.29,6.76,5.64
P1007,Clothing,1702.18,1309.23,Medium,Autumn,Tuesday,265,185,1049.11,173063.55,392.95,1.3,3404.36,7.44,7.18
P1008,Electronics,1809.36,537.66,Medium,Winter,Thursday,402,802,1410.0,160542.72,1271.7,3.37,3618.72,7.5,6.29
P1009,Home Appliances,1760.84,1681.28,Low,Summer,Sunday,269,939,1281.19,129025.85,79.56,1.05,1760.84,7.47,7.43
P1010,Clothing,1950.03,1048.99,High,Summer,Saturday,251,392,1517.83,108482.2,901.04,1.86,5850.09,7.58,6.96
P1011,Home Appliances,103.66,313.72,High,Autumn,Tuesday,273,158,63.87,10862.67,-210.06,0.33,310.98,4.65,5.75
P1012,Home Appliances,1687.64,1163.43,High,Monsoon,Monday,382,777,964.98,276056.12,524.21,1.45,5062.92,7.43,7.06
P1013,Toys,1515.96,845.37,Low,Spring,Tuesday,343,290,1190.58,111605.34,670.59,1.79,1515.96,7.32,6.74
P1014,Sports,495.95,1339.82,High,Autumn,Saturday,409,354,334.81,65906.26,-843.87,0.37,1487.85,6.21,7.2
P1015,Home Appliances,1914.82,1769.71,High,Winter,Friday,438,799,1505.69,179198.94,145.11,1.08,5744.46,7.56,7.48
P1016,Beauty,338.95,848.31,High,Autumn,Sunday,272,800,213.1,34231.2,-509.36,0.4,1016.85,5.83,6.74
P1017,Toys,1375.12,615.27,Medium,Monsoon,Sunday,280,418,823.76,154380.8,759.85,2.23,2750.24,7.23,6.42
P1018,Electronics,488.54,78.3,High,Monsoon,Tuesday,223,727,367.63,26962.93,410.24,6.24,1465.62,6.19,4.37
P1019,Sports,891.19,1170.94,Medium,Autumn,Monday,75,983,606.37,21361.5,-279.75,0.76,1782.38,6.79,7.07
P1020,Beauty,1452.36,834.44,High,Summer,Tuesday,151,931,1029.67,63826.19,617.92,1.74,4357.08,7.28,6.73
P1021,Beauty,1148.48,780.57,High,Autumn,Saturday,425,39,883.0,112829.0,367.91,1.47,3445.44,7.05,6.66
P1022,Electronics,883.63,406.72,High,Festival,Sunday,359,739,602.51,100922.08,476.91,2.17,2650.89,6.79,6.01
P1023,Sports,686.36,888.61,Medium,Festival,Monday,342,431,518.97,57247.38,-202.25,0.77,1372.72,6.53,6.79
P1024,Toys,1687.34,1969.66,High,Spring,Thursday,417,991,1117.2,237748.38,-282.32,0.86,5062.02,7.43,7.59
P1025,Books,330.44,630.62,Low,Winter,Saturday,105,240,204.63,13210.05,-300.18,0.52,330.44,5.8,6.45
P1026,Sports,888.7,1219.42,High,Winter,Sunday,42,368,651.28,9971.64,-330.72,0.73,2666.1,6.79,7.11
P1027,Electronics,1812.33,1564.15,Medium,Summer,Tuesday,176,171,937.62,153948.96,248.18,1.16,3624.66,7.5,7.36
P1028,Beauty,1699.41,1510.86,Medium,Winter,Sunday,245,738,975.51,177355.5,188.55,1.12,3398.82,7.44,7.32
P1029,Toys,831.84,691.11,Low,Spring,Monday,253,237,461.09,93799.75,140.73,1.2,831.84,6.72,6.54
P1030,Sports,1538.06,1241.18,Low,Festival,Saturday,274,854,1102.04,119469.48,296.88,1.24,1538.06,7.34,7.12
P1031,Books,1655.16,1748.97,Low,Summer,Thursday,447,230,1021.35,283313.07,-93.81,0.95,1655.16,7.41,7.47
P1032,Books,1783.33,80.12,Medium,Monsoon,Friday,334,755,1261.33,174348.0,1703.21,22.26,3566.66,7.49,4.4
P1033,Home Appliances,1111.79,899.68,High,Festival,Wednesday,92,82,787.11,29870.56,212.11,1.24,3335.37,7.01,6.8
P1034,Home Appliances,448.7,487.33,High,Spring,Monday,11,408,266.89,1999.91,-38.63,0.92,1346.1,6.11,6.19
P1035,Clothing,547.85,807.83,Low,Summer,Friday,152,104,418.67,19635.36,-259.98,0.68,547.85,6.31,6.7
P1036,Electronics,626.6,861.18,Low,Autumn,Thursday,189,949,440.92,35093.52,-234.58,0.73,626.6,6.44,6.76
P1037,Sports,1207.91,1506.01,High,Winter,Friday,448,484,937.25,121255.68,-298.1,0.8,3623.73,7.1,7.32
P1038,Sports,113.98,232.95,Low,Spring,Tuesday,164,104,78.06,5890.88,-118.97,0.49,113.98,4.74,5.46
P1039,Clothing,1290.28,1049.54,High,Summer,Wednesday,126,915,800.66,61692.12,240.74,1.23,3870.84,7.16,6.96
P1040,Beauty,760.49,1150.18,High,Festival,Monday,211,764,469.02,61500.17,-389.69,0.66,2281.47,6.64,7.05
P1041,Beauty,625.72,1013.61,High,Summer,Saturday,461,894,338.12,132583.6,-387.89,0.62,1877.16,6.44,6.92
P1042,Clothing,1765.02,1477.15,High,Autumn,Sunday,97,814,1050.29,69328.81,287.87,1.19,5295.06,7.48,7.3
P1043,Beauty,947.0,798.39,Medium,Spring,Thursday,309,784,545.89,123942.99,148.61,1.19,1894.0,6.85,6.68
P1044,Home Appliances,235.35,1892.69,High,Summer,Wednesday,339,133,158.89,25919.94,-1657.34,0.12,706.05,5.47,7.55
P1045,Sports,1662.16,989.52,Low,Monsoon,Thursday,47,809,1057.64,28412.44,672.64,1.68,1662.16,7.42,6.9
P1046,Clothing,142.9,1163.87,Low,Spring,Sunday,308,509,87.1,17186.4,-1020.97,0.12,142.9,4.97,7.06
P1047,Sports,1467.16,1659.79,Low,Spring,Friday,224,788,776.35,154741.44,-192.63,0.88,1467.16,7.29,7.42
P1048,Books,1559.12,586.71,Low,Festival,Thursday,463,953,1199.81,166360.53,972.41,2.66,1559.12,7.35,6.38
P1049,Home Appliances,737.58,196.64,Medium,Winter,Thursday,57,630,391.59,19721.43,540.94,3.75,1475.16,6.6,5.29
P1050,Toys,1658.34,1430.18,High,Monsoon,Friday,75,869,894.86,57261.0,228.16,1.16,4975.02,7.41,7.27
P1051,Home Appliances,1055.54,991.87,High,Autumn,Friday,254,973,546.22,129367.28,63.67,1.06,3166.62,6.96,6.9
P1052,Clothing,953.42,1798.18,Low,Summer,Sunday,151,57,728.09,34024.83,-844.76,0.53,953.42,6.86,7.5
P1053,Toys,138.54,1966.23,Low,Winter,Wednesday,59,822,97.52,2420.18,-1827.69,0.07,138.54,4.94,7.58
P1054,Books,615.56,828.26,Low,Festival,Monday,325,104,353.66,85117.5,-212.7,0.74,615.56,6.42,6.72
P1055,Clothing,1865.47,860.11,High,Winter,Friday,440,486,1051.06,358340.4,1005.36,2.17,5596.41,7.53,6.76
P1056,Electronics,814.06,845.53,Medium,Spring,Wednesday,86,42,488.8,27972.36,-31.47,0.96,1628.12,6.7,6.74
P1057,Sports,1116.07,682.88,Medium,Spring,Sunday,170,127,710.83,68890.8,433.19,1.63,2232.14,7.02,6.53
