Product_ID,Category,Current_Price,Competitor_Price,Demand_Level,Season,Day_of_Week,Units_Sold,Stock,Rating
P1000,Clothing,916.51,1376.46,High,Monsoon,Friday,82,863,2.31
P1001,Sports,587.32,1692.79,Low,Winter,Saturday,21,388,1.05
P1002,Toys,1262.98,495.52,Low,Festival,Wednesday,179,470,2.57
P1003,Clothing,1985.26,1739.53,Low,Summer,Sunday,498,65,3.04
P1004,Home Appliances,803.33,114.98,High,Autumn,Thursday,398,816,1.43
P1005,Toys,1168.99,1829.94,Low,Monsoon,Wednesday,330,90,3.15
P1006,Toys,860.43,280.81,High,Autumn,Wednesday,225,688,4.28
P1007,Clothing,1702.18,1309.23,Medium,Autumn,Tuesday,265,185,2.51
P1008,Electronics,1809.36,537.66,Medium,Winter,Thursday,402,802,2.41
P1009,Home Appliances,1760.84,1681.28,Low,Summer,Sunday,269,939,2.36
P1010,Clothing,1950.03,1048.99,High,Summer,Saturday,251,392,4.69
P1011,Home Appliances,103.66,313.72,High,Autumn,Tuesday,273,158,1.2
P1012,Home Appliances,1687.64,1163.43,High,Monsoon,Monday,382,777,2.78
P1013,Toys,1515.96,845.37,Low,Spring,Tuesday,343,290,2.06
P1014,Sports,495.95,1339.82,High,Autumn,Saturday,409,354,4.58
P1015,Home Appliances,1914.82,1769.71,High,Winter,Friday,438,799,1.38
P1016,Beauty,338.95,848.31,High,Autumn,Sunday,272,800,2.65
P1017,Toys,1375.12,615.27,Medium,Monsoon,Sunday,280,418,2.63
P1018,Electronics,488.54,78.3,High,Monsoon,Tuesday,223,727,4.55
P1019,Sports,891.19,1170.94,Medium,Autumn,Monday,75,983,1.86
P1020,Beauty,1452.36,834.44,High,Summer,Tuesday,151,931,3.58
P1021,Beauty,1148.48,780.57,High,Autumn,Saturday,425,39,1.54
P1022,Electronics,883.63,406.72,High,Festival,Sunday,359,739,4.82
P1023,Sports,686.36,888.61,Medium,Festival,Monday,342,431,3.37
